ELEM,P,T,SG,SW,X(WAT1),X(WAT2),PCAP,DG,DW
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+03 , 0.00000E+00 , 0.10000E+01 , 0.10000E+01 , 0.00000E+00 , 0.00000E+00 , 20.14964 , 815.04206
HA119 , 0.19199E+08 , 0.25047E+0
